Rank,Name,Gender
458,Brais Méndez,Male
458,Alex Meret,Male
458,Arkadiusz Milik,Male
458,Kaoru Mitoma,Male
458,Fernando Muslera,Male
458,Riccardo Orsolini,Male
458,Stefan Ortega,Male
458,Nicolás Otamendi,Male
458,Isi Palazón,Male
458,Aaron Ramsdale,Male
458,Marcus Rashford,Male
458,David Raum,Male
458,Stefan Savić,Male
458,Xaver Schlager,Male
458,Jerdy Schouten,Male
458,Ellyes Skhiri,Male
458,Milan Škriniar,Male
458,Dominic Solanke,Male
458,David Soria,Male
458,Raheem Sterling,Male
458,Dominik Szoboszlai,Male
458,Youri Tielemans,Male
458,Manuel Ugarte,Male
458,Deniz Undav,Male
458,Álvaro Valles,Male
458,Lucas Vázquez,Male
458,Joey Veerman,Male
458,Vivian,Male
458,Callum Wilson,Male
458,Lamine Yamal,Male
458,Wilfried Zaha,Male
458,Piotr Zieliński,Male
458,Zubimendi,Male
577,Salem Al Dawsari,Male
577,Ali Al Musrati,Male
577,Jordi Alba,Male
577,Toby Alderweireld,Male
577,Joachim Andersen,Male
577,Benjamin André,Male
577,Marko Arnautović,Male
577,Maximilian Arnold,Male
577,Fredrik Aursnes,Male
577,Simon Banza,Male
577,Roberto Firmino,Male
577,Bradley Barcola,Male
577,Harvey Barnes,Male
577,Christoph Baumgartner,Male
577,Walter Benítez,Male
577,Gonçalo Inácio,Male
577,Yves Bissouma,Male
577,Daley Blind,Male
577,Denis Bouanga,Male
577,Yan Couto,Male
577,Alessandro Buongiorno,Male
577,Davide Calabria,Male
577,Lucas Chevalier,Male
577,Samuel Chukwueze,Male
577,Jonathan Clauss,Male
577,Kevin Danso,Male
577,Evanilson,Male
577,De Marcos,Male
577,Michele Di Gregorio,Male
577,Eric Dier,Male
577,Jérémy Doku,Male
577,Éderson,Male
577,Wataru Endo,Male
577,Pervis Estupiñán,Male
577,Wladimiro Falcone,Male
577,João Félix,Male
577,Suso,Male
577,Seko Fofana,Male
577,Juan Foyth,Male
577,Javi Galán,Male
577,Pepelu,Male
577,Nuno Santos,Male
577,Joe Gomez,Male
577,Nicolás González,Male
577,Mario Götze,Male
577,Vincenzo Grifo,Male
577,Nemanja Gudelj,Male
577,Albert Guðmundsson,Male
577,Mattéo Guendouzi,Male
577,Malo Gusto,Male
577,Miguel Gutiérrez,Male
577,Amadou Haidara,Male
577,Danilo Pereira,Male
577,Jordan Henderson,Male
577,Morten Hjulmand,Male
577,Pierre-Emile Højbjerg,Male
577,Ibañez,Male
577,Bento,Male
577,Thomas Lemar,Male
577,Dominik Livaković,Male
577,Giovani Lo Celso,Male
577,David López,Male
577,Harry Maguire,Male
577,Reinildo,Male
577,Iván Martín,Male
577,Nemanja Matić,Male
577,Bryan Mbeumo,Male
577,Facundo Medina,Male
577,Édouard Mendy,Male
577,Dries Mertens,Male
577,Daniel Muñoz,Male
577,Vedat Muriqi,Male
577,João Mário,Male
577,Jesús Navas,Male
577,David Neres,Male
577,Alexander Nübel,Male
577,Mario Pašalić,Male
577,Vangelis Pavlidis,Male
577,Matteo Politano,Male
577,Ivan Rakitić,Male
577,Amir Rrahmani,Male
577,Ruiz de Galarreta,Male
577,Allan Saint-Maximin,Male
577,Davinson Sánchez,Male
577,Diego Carlos,Male
577,Téji Savanier,Male
577,Kasper Schmeichel,Male
577,William Carvalho,Male
577,Mohamed Simakan,Male
577,Sebastian Szymański,Male
577,Mehdi Taremi,Male
577,James Tarkowski,Male
577,Jean-Clair Todibo,Male
577,Ivan Toney,Male
577,Ferran Torres,Male
577,Hamari Traoré,Male
577,Lars Unnerstall,Male
577,André Silva,Male
577,Hans Vanaken,Male
577,Jordan Veretout,Male
577,Timo Werner,Male
577,Mats Wieffer,Male
577,Axel Witsel,Male
577,Barış Alper Yılmaz,Male
577,Warren Zaïre-Emery,Male
